序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
44,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1202,q0032p0045,0,0.2,0,0,0.1,0.13,工艺点位,,265,564,,,Mpa,tag1
45,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1203,q0032p0046,0,0.2,0,0,0.1,0.13,工艺点位,,418,564,,,Mpa,tag1
46,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1204,q0032p0047,0,0.2,0,0,0.1,0.13,工艺点位,,567,564,,,Mpa,tag1
47,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1205,q0032p0048,0,0.2,0,0,0.1,0.13,工艺点位,,720,564,,,Mpa,tag1
48,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1206,q0032p0049,0,0.2,0,0,0.1,0.13,工艺点位,,870,564,,,Mpa,tag1
49,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1207,q0032p0050,0,0.2,0,0,0.1,0.13,工艺点位,,1018,564,,,Mpa,tag1
50,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1208,q0032p0051,0,0.2,0,0,0.1,0.13,工艺点位,,112,398,,,Mpa,tag1
51,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1209,q0032p0052,0,0.2,0,0,0.1,0.13,工艺点位,,265,398,,,Mpa,tag1
52,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1210,q0032p0053,0,0.2,0,0,0.1,0.13,工艺点位,,418,398,,,Mpa,tag1
53,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1211,q0032p0054,0,0.2,0,0,0.1,0.13,工艺点位,,567,398,,,Mpa,tag1
54,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1212,q0032p0055,0,0.2,0,0,0.1,0.13,工艺点位,,720,398,,,Mpa,tag1
55,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1213,q0032p0056,0,0.2,0,0,0.1,0.13,工艺点位,,870,398,,,Mpa,tag1
56,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1214,q0032p0057,0,0.2,0,0,0.1,0.13,工艺点位,,1018,398,,,Mpa,tag1
